Context Switch ¦¸¼Æ: ,0,Context Switch Cost: ,0, Average Waiting Time: ,184.001, Average TurnAround Time: ,199.044, Average Response Time: ,184.001, Longest Wait: ,375, Longest Turn: ,390, Longest Response: ,375, end time ,15065, Throughput: ,0.066379

id,turnaround time,waiting time,response time,priority,burst time,arrive time,finished time
1,20,0,0,4,20,16,36
2,15,8,8,6,7,28,43
3,16,0,0,1,16,45,61
4,14,3,3,7,11,58,72
5,14,0,0,10,14,73,87
6,24,3,3,2,21,84,108
7,15,7,7,8,8,101,116
8,16,2,2,3,14,114,130
9,13,2,2,1,11,128,141
10,23,3,3,7,20,138,161
11,24,13,13,4,11,148,172
12,22,11,11,7,11,161,183
13,22,6,6,2,16,177,199
14,21,8,8,2,13,191,212
15,27,8,8,8,19,204,231
16,34,17,17,6,17,214,248
17,36,23,23,8,13,225,261
18,39,28,28,10,11,233,272
19,27,11,11,2,16,261,288
20,26,12,12,3,14,276,302
21,30,12,12,4,18,290,320
22,30,15,15,4,15,305,335
23,30,12,12,1,18,323,353
24,23,13,13,8,10,340,363
25,29,10,10,1,19,353,382
26,26,14,14,6,12,368,394
27,17,2,2,1,15,392,409
28,11,3,3,3,8,406,417
29,21,0,0,1,21,420,441
30,24,7,7,8,17,434,458
31,29,14,14,9,15,444,473
32,35,14,14,4,21,459,494
33,33,11,11,5,22,483,516
34,38,25,25,9,13,491,529
35,34,25,25,2,9,504,538
36,37,16,16,7,21,522,559
37,38,23,23,10,15,536,574
38,43,25,25,10,18,549,592
39,52,32,32,9,20,560,612
40,60,44,44,2,16,568,628
41,69,47,47,6,22,581,650
42,77,58,58,4,19,592,669
43,61,52,52,9,9,617,678
44,62,49,49,9,13,629,691
45,60,43,43,5,17,648,708
46,61,46,46,8,15,662,723
47,66,53,53,7,13,670,736
48,72,57,57,2,15,679,751
49,75,58,58,9,17,693,768
50,78,62,62,8,16,706,784
51,80,66,66,7,14,718,798
52,85,65,65,4,20,733,818
53,87,73,73,3,14,745,832
54,80,68,68,7,12,764,844
55,79,68,68,1,11,776,855
56,84,61,61,4,23,794,878
57,81,63,63,4,18,815,896
58,77,58,58,1,19,838,915
59,79,63,63,8,16,852,931
60,87,71,71,4,16,860,947
61,97,75,75,10,22,872,969
62,104,84,84,8,20,885,989
63,103,91,91,10,12,898,1001
64,102,87,87,7,15,914,1016
65,108,94,94,6,14,922,1030
66,109,93,93,3,16,937,1046
67,109,93,93,3,16,953,1062
68,100,90,90,7,10,972,1072
69,107,87,87,2,20,985,1092
70,106,91,91,1,15,1001,1107
71,99,83,83,9,16,1024,1123
72,107,91,91,8,16,1032,1139
73,112,95,95,5,17,1044,1156
74,110,97,97,9,13,1059,1169
75,99,90,90,8,9,1079,1178
