Context Switch ¦¸¼Æ: ,444,Context Switch Cost: ,0, Average Waiting Time: ,241.291, Average TurnAround Time: ,256.334, Average Response Time: ,165.411, Longest Wait: ,660, Longest Turn: ,677, Longest Response: ,332, end time ,15065, Throughput: ,0.066379

id,turnaround time,waiting time,response time,priority,burst time,arrive time,finished time
1,27,7,0,4,20,16,43
2,10,3,3,6,7,28,38
3,27,11,0,1,16,45,72
4,13,2,2,7,11,58,71
5,14,0,0,10,14,73,87
6,32,11,3,2,21,84,116
7,9,1,1,8,8,101,110
8,16,2,2,3,14,114,130
9,13,2,2,1,11,128,141
10,34,14,3,7,20,138,172
11,19,8,8,4,11,148,167
12,22,11,11,7,11,161,183
13,35,19,6,2,16,177,212
14,20,7,7,2,13,191,211
15,55,36,8,8,19,204,259
16,58,41,13,6,17,214,272
17,30,17,17,8,13,225,255
18,37,26,26,10,11,233,270
19,41,25,11,2,16,261,302
20,25,11,11,3,14,276,301
21,45,27,12,4,18,290,335
22,27,12,12,4,15,305,332
23,40,22,12,1,18,323,363
24,20,10,10,8,10,340,360
25,41,22,10,1,19,353,394
26,22,10,10,6,12,368,390
27,17,2,2,1,15,392,409
28,11,3,3,3,8,406,417
29,36,15,0,1,21,420,456
30,39,22,1,8,17,434,473
31,27,12,12,9,15,444,471
32,50,29,14,4,21,459,509
33,46,24,5,5,22,483,529
34,31,18,18,9,13,491,522
35,34,25,25,2,9,504,538
36,67,46,16,7,21,522,589
37,32,17,17,10,15,536,568
38,88,70,19,10,18,549,637
39,97,77,29,9,20,560,657
40,99,83,36,2,16,568,667
41,106,84,38,6,22,581,687
42,114,95,45,4,19,592,706
43,49,40,40,9,9,617,666
44,51,38,38,9,13,629,680
45,118,101,39,5,17,648,766
46,59,44,44,8,15,662,721
47,64,51,51,7,13,670,734
48,70,55,55,2,15,679,749
49,145,128,56,9,17,693,838
50,144,128,60,8,16,706,850
51,77,63,63,7,14,718,795
52,137,117,62,4,20,733,870
53,79,65,65,3,14,745,824
54,72,60,60,7,12,764,836
55,73,62,62,1,11,776,849
56,144,121,56,4,23,794,938
57,156,138,55,4,18,815,971
58,149,130,47,1,19,838,987
59,151,135,48,8,16,852,1003
60,158,142,55,4,16,860,1018
61,183,161,66,10,22,872,1055
62,175,155,68,8,20,885,1060
63,85,73,73,10,12,898,983
64,88,73,73,7,15,914,1002
65,95,81,81,6,14,922,1017
66,194,178,81,3,16,937,1131
67,194,178,80,3,16,953,1147
68,98,88,88,7,10,972,1070
69,189,169,85,2,20,985,1174
70,99,84,84,1,15,1001,1100
71,180,164,76,9,16,1024,1204
72,173,157,83,8,16,1032,1205
73,190,173,87,5,17,1044,1234
74,101,88,88,9,13,1059,1160
75,90,81,81,8,9,1079,1169
76,93,79,79,9,14,1095,1188
77,177,158,76,8,19,1112,1289
78,86,74,74,4,12,1131,1217
79,176,158,72,3,18,1145,1321
80,186,168,83,6,18,1151,1337
81,96,84,84,2,12,1165,1261
82,89,79,79,9,10,1182,1271
83,96,82,82,9,14,1189,1285
